X,text,artist,song,year,album,Release.Date,US.Pop,US.R.B,CA,UK,IR,NL,DE,AT,FR,JP,AU,NZ,peak
511,"Prince
Miscellaneous
Fun
Fun 
(Ah yeah) {sample repeats through song} 
Fun - we should do this 
Let's go 2 the beach and just lay in the sand 
Fun - we should do this 
Can't nobody reach us 'til we say they can 
Fun - let's go drivin' 
Anywhere, let's just get out of this city 
Fun - let's just dive in 
I don't care where we go just as long as it's pretty 
CHORUS: 
Fun, fun, don't U wanna have fun? 
Let's do all we can do now 
Fun, fun, don't U wanna have fun? 
It's all up 2 U now 
Fun - we should do this 
Let's go buy a funny hat and just dance in the street 
Fun - we should do this 
Let's find a band playin' a funky beat 
Fun - let's not worry 
We can think about responsibility another time 
Fun - let's think about the party 
U better go 4 yours cuz I'm gonna go 4 mine 
I'mo go 4 mine (mine, mine, mine, mine) 
CHORUS 
Don't U just love it when the yellow ball a-bounces 
In the blue cotton candy psychedelic sky? 
17 tangerine polkadot bikinis dancin' nasty 
As the hooptie-blastin' fun drives by 
Everywhere U look the people party in the sunlight 
Ain't nobody illin' cuz nobody's lookin' 4 a fight 
Just people havin' some of the summertime heat 
Money, U better grab a girl and dance 2 this beat 
Fun, fun, fun, fun {x2} 
Fun - we should do this 
We should dance 2 every song until we're soakin' wet (wet, wet) 
Fun - we should do this 
D.J., if U think I like it funky - yo bet (Yo) 
I think I want a kiss 
2 night it feels so good, it just might be one I just met 
U know U can't resist (Fun, fun, fun, fun) 
U know this is the best life, baby, that U're ever gonna get 
CHORUS 
Let's think about responsibility another time 
U go 4 your fun, I'll go 4 mine 
Fun",prince,fun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
847,"Ahhh Yea!
Drop it now
Don't stop it now
Go and get it now
Here he comes again
He's gonna try and ruin my day
Never had a reason to dog me out
Don't ever make em do what they say
9 times out of 10
I ask him if he did he say no
I'll never be a turn coat never be the one
To sell your name at the grocery store
You come around funny stuff be going down
Ask him how it happend yo he don't know
But I don't care what people may say
I ain't gonna let it ruin my day
The rest rather die for a basket full of lies it's funk
It's smellin' like funky music
Stomping on my day
Gotta give me some of that music
Here she comes again
She got to tell the story her way
What she call the fellas doing something she don't wanna
Taken money where crime don't pay
Every now and then
A girl there's something somebody said
One mans justice is another mans fears
Don't you wish that you could sleep in my bed?
The only reason to say my name is to get
Your 50 sex of fame nobody's even sure what you do
But I don't care what people may say
I ain't gonna let it ruin my day
The rest rather die for a basket full of lies it's funk
It's smellin' like funky music
Let the music play
I'm crazy for coco rock
How you gonna captain B'gone
I hate to lecture nobody's home
You may not like the taste but I'm still gonna stick your face in this funk
Stick your face in it
God said we can ho hum listen to my drum
Digital music disappears
Very scary your face
Listen to my bass
Time will tell who we are
Listen to my guitar",prince,funk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
512,"Prince
Miscellaneous
Funky
{segued from ""Love, Thy Will Be Done""} 
Y'all like that   we just did at the end? 
Y'all wanna get funky? 
Aww  ! 
Mayte's in the kitchen stirring up the pot 
Brother's out here waiting, trying 2 see what she got
What she trying 2 show me, is not from the Golden Rule
This here funk, y'all, listen 2 me, U can't learn it
in school 
CHORUS: 
Let's get funky, yeah! 
Get it on, right on! 
Everyday! 
Morris on the organ, a-gettin' real funky
Tommy on piano, gettin' funky 2 
Michael B. on the drum uh, gettin' real funky 
I got something that I wanna shake 4 U 
CHORUS 
People in the front row, U know U get funky 
People upstairs, U know U're real funky 2
NPG, we know we're funky 
Cuz we do everything and anything we want 2 
CHORUS 
Yeah! 
Is it funky? {x2} 
Alright! This is alright!
Funky, yeah!",prince,funky,NA,Other Songs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
625,"I like funky music
I like funky music
I like funky music
I like funky music
Everybody get on the floor
We got the groove you feel in your soul
When you're good 'n' funky, you can say you know
Dance to the funky music, come on
I like funky music
I like funky music
I like funky music
I like funky music
If you ain't got no partner you can use your hair
Shake it like a hooker, baby, I don't care
Whatever you do, you got to make the people stare
Dance to the funky music, yeah
I like funky music
I like funky music
I like funky music
I like funky music
This beat I got is specially designed
(Specially designed)
To make you lose your phone number to somebody fine
The nastier you get, the funkier we got
My claim to fame is scandal, baby and I ain't here to stop
(Ow!)
I like funky music
I like funky music
I didn't come to trample on what you think is cool
I just wanna hip you to a brand new groove
If you like your funky mellow, this ain't for you
Dance to the funky music, shoo-bed-ooh!
Yeah, I like funky music
I like funky music
I like funky music
I like funky music
Uh huh
(Uh!)
Uh, uh, uh huh
Uh, uh huh
Uh, uh, uh huh
Yo, the time has come once again to send
A dance groove that won't end
Don't pretend that your feet is tired
And grab my hand girlfriend
And move it, baby, move it
I know you can do it
Move it, baby, move it
I know you can do it, come on
I said, â€½Come onâ€
Now, let me tell you somethin'
Huh, lookin' so good on the floor
Make me wanna get to know you better
And dancin' all up next to you
Is a feeling, I can feel forever
Being together and doing what's clever
And been so hard to stop it, uh
I know no one could top it
Huh, yeah
This groove is funky
Huh, yeah
Yo N.P.G. C drop it!
Huh, say what?
Huh, huh, say what?
Say, say what?
Uh, uh, uh
Say, say, say what?
Huh, uh, uh, uh
Yo, enough respect goes to The Artist and the N.P.G. crew
And the whole New York and Uptown
And across the country massive
Big up yourselves 'cos it's comin' at cha loud
Alright?",prince,funky music,1998,Newpower Soul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
798,"You must have heard it on the news this morning
Congratulations, a new star is born
Sun to a shadow, rose to a thorn
There ain't no fury like a woman scorned
Y'all must have dug it, when you did your thang
It's like a song, everybody wanna sang
When the music's over, your ears ring
With a voice that's saying, ""Queen got no King""
He got a message saying, you tried to reach him on the phone
He didn't wanna answer 'cuz he's so afraid
You'd probably tell him just to leave you alone
You must have heard he got another band
They're makin' money, they're makin' plans
You feel left out but you need to understand
Word on the street, he's still your man
He's still your man, he's still your man
Look out, look out, look out, here comes your rainy day
Now you think you got a good reason to say
Everything that's in your heart, come what may
Even though his might get broken
Who's the guilty one when there ain't no judge or jury?
Shadow to the sun, next to the one
Hell ain't got no fury
It will approach us, the debt he's been in
Open to the heart in need of mending
Will this song have a happy ending?
Only the woman knows, only she knows
Two sides to every story
One man's gloom is another man's glory
Sun to a shadow, rose to a thorn
There ain't no fury like a woman scorned
Ain't no fury like a woman scorned
No fury like a woman scorned
No fury like a woman scorned",prince,fury,2006,3121,29 May. 2006,n/a,n/a,-,60,-,72M,-,-,-,n/a,n/a,n/a,60
772,"Future baby mama
I've heard it said my lovers look alike
Could it be that I was looking for you?
They were cool but something wasn't right
They had me fooled for a minute and then I saw the truth
None of them got what it takes to be a future baby mama
Gotta bend in the wind but don't break to keep your man
Show me one of them and I'll make her mine with no more drama
Future baby mama
I've heard it said that I won't treat you right
But they ain't sure 'cos they don't know nothing about you
You're too secure to ever want to fuss and fight
That's why your man never ever got a reason to doubt you
None of them got what it takes to be a future baby mama
Bend in the wind but don't break to keep your man
Show me one of them and I'll make her mine, no more drama
Future baby mama
Yeah, I know you might be fine but I've seen it all before
Cinderella was a waste of time and oops, she's out the door
To build a house together, the thing that matters more
Is under the floor, a strong foundation that last forever more
I'm gon' to make you happy, baby, happier than happy itself
You know what? If you'll ever need a hand, call me, I'll help
'Cos I got you, anywhere you wanna go
Paris, London, Africa, San Lucas, Mexico, you see
I know what you want, what every good woman wants
A man so in love with you, he can't help but to flaunt you
Deep down, I know what you want
You want your girlfriends to hate you 'cos they can't get your man
None of them got what it takes to be a future baby mama
Gotta bend in the wind but don't break to keep your man
Show me one of them and I'll make her mine, no more drama
Future baby mama, future baby mama, future baby mama",prince,future baby mama,2007,Planet Earth,No relase date,-,39,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,39
835,"I had a dream last night
That I was flying for the first time
And in the dream I could pilot my flight
With the thoughts in my mind
Since there wasn't any up or down
Everybody was all around
When we sang, we all sang together
Oh, what a beautiful sound
Ooh, ooh, sha la la la la
This is the future soul song
Ooh, ooh, sha la la la la
This is the future soul song
I had a dream last night
That I was singing and the sound of my voice
Seemed to come from every mountain top
Like it had no choice
And when my voice rose, so did the sun
When the trees sang the harmony as one
Every living soul sang the most beautiful
Melody ever sung
Ooh, ooh, sha la la la la
This is the future soul song
Ooh, ooh, sha la la la la
This is the future soul song
Before the war the only words and language said
Let there be light
Those that can see it are the ones who believe it
And put up no fight
And in the absence of fear and control
Is the sound of the surrendering soul
Louder than the dogmatic persecution
I sing it like you got that right
Ooh, ooh, sha la la la la
This is the future soul song
Ooh, ooh, sha la la la la
This is the future soul song
Ooh, ooh, sha la la la la
Ooh, ooh, sha la la la la
This is the future soul song",prince,future soul song,2010,20Ten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
384,"Prince
Diamonds And Pearls
Gangster Glam
Gangster Glam		[Controversy Music - 1991]
-------------		[On the US maxi-single for Gett Off]
Boy, we gettin' ready to get funkier than a sack 'o grandaddies
1,2,1,2,3
roll it   ((gett off))
{gangster}        ((gett off))
(gangster)        ((gett off))
yeah, summertime
{gangster}        ((gett off))
(get on up and jam)
well as I G-E-double T-O-F-F 
Ganster Glam in the house
and I must confess, see
that this is the   P serve
and a new power soul for those who would ever try to rock the
NPG, for those who are wondering, a family is born
and God bless us 'cause we're funky
everything we do is on a positive tip
and got a message for a sucker with lip
tell 'em Rosie
(let a woman be a woman and man be a man)
yeah, you tell 'em, baby
and as I put the Mmm in man,
I'm kickin' the Gangster Glam
{gangster}
{gangster}
{gangster glam}
(gangster)
kickin' the Gangster Glam
{gangster}
{gangster}
{gangster glam}
(get on up and jam)
well as I G-E-double T-O-F-F 
Ganster Glam in the house (house)    (gangster)
the style we're sportin',
the ladies and the fellas, hmmm
Godfather III meets barbarella (barbarella, barbarella, ...)
hmmm, you can believe, a gangster never thinks twice
((gangster))
((gangster glam))  
what ya say fellas?
((gangster))
((get on up and jam))
roll it
{gangster}
{gangster}
{gangster glam}
(summertime and I'm rollin')
(get on up and jam)
(send the shout out)
                        ((power 2 the people of MPLS))
(send the shout out)    ((power 2 the people of MPLS))
                        ((power 2 the people of MPLS))
                        ((power 2 the people of MPLS))
What's my BMW definition: 
the Black Man's Wish 
all the heads of the family 
would fall and would drop this
and the fact that we're funky
will keep the jeeps boomin' for the hip-hop junkies
((everybody grab a body, pump it like you want somebody))
(get-get-get-get-get-get on up and jam)
I'm kickin' the Gangster Glam
((everybody grab a body, pump it like you want somebody))
and see you lipsyncher suckers
listen, we don't go for that
and you can believe 
we're bringin' the live performance back     {gangster}
so don't you come to the concert tonite,
'cause was in your home wishin' you had came right
hmmm clockin' the jizz, 
gettin' bizz, 
playin strip pool with Vanessa
sweatin' in my typhoon   (get-get-get-get-get-get on up and jam) {gangster}
yeah, that's my 'do, fool
(get-get-get-get-get-get on up and jam)   ((get off))  {gangster glam}
summertime and [unroll it]
(get-get-get-get-get-get on up and jam)   {gangster}   ((gett off))
yeah
(get-get-get-get-get-get on up and jam)  ((gett off)) {gangster glam}
groovin' to the Gangster Glam    
with the fellas                  (gangster)
the dream of tequila yella
clockin' all the jizz            (get on up and jam)
{gangster}
I love you
{gangster}
I love you too (I love you too)
{gangster glam}
yeah
((get on up and jam))
(if you think u're funky)
are you funky?
(then come on and ride the donkey)
then ride it
{gangster}
((gangster glam))
((everybody grab a body, pump it like you want somebody))
(get-get-get-get-get-get on up and jam) 
(How much money u got?)
Gangster grands
{gangster}
groovin' to the Gangster Glam
{gangster}
{gangster glam}
groovin' to the Gangster Glam
(gangster)
{I like 'em proud}
groovin' to the Gangster
groove-groove-groovin' to the
groovin' to the Gangster
groove-groove-groovin' to the
groovin' to the Gangster
groove-groove-groovin' to the
(get on up and jam)
{gangster}
groovin' to the Gangster Glam
(get on up and jam)
N    ((N))
P    ((P))
G    ((G))
Who turn the   out?    ((Who turn the   out?))
N    (gangster)  ((N))
P    ((P))
G    ((G))
Who turn the   out?    ((Who turn the   out?))
{gangster}
(jam)
what we gonna do when we wanna get funky?
call me crazy
what we gonna do when we wanna get funky?
call me crazy
what we gonna do when we wanna get funky?  (jam) {gangster} (jam)
call me crazy
what we gonna do when we wanna get funky?  (jam)
(get on up and jam)
what we gonna do when we wanna get funky?
what we gonna do when we wanna get funky?
((gangster))
((gangster glam))
((gangster))
((get on up and jam))
groovin' to the Gangster Glam
((gangster glam))
((gangster))
((get on up and jam))
groovin' to the Gangster Glam
{gangster}
gett off
g-g-gett off",prince,gangster glam,NA,Other Songs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
513,"Prince
Miscellaneous
Get It Up
Get it up 
Get ready 4 a real good time 
I'm gonna try 2 blow your mind 
Can't U see? 
U and me 
It sounds so nasty 
Get it up 
Let your hair hang down 
We could fool around 
Don't U know 
I want U so 
Make me happy, oh 
Get it up 
There's nothin' wrong 
With freakin' all night long 
Me and U 
We need a groove 
If it feels good, do it 
Get it up 
Leave your cares behind 
Let me try 2 find 
Find the spot 
That gets U hot 
Let me do ya 
What time is it? 
Get it up {x14} 
Get it up 
Get ready 4 a real good time 
I'm gonna try 2 blow your mind 
Can't U see? 
U and me 
It sounds so nasty 
Get it up (Oh baby) 
Let your body drip 
Let me take U on a trip 
Can't U see? 
U're killin' me 
U're so freaky 
Get it up {x2} 
Get it up, oh, oh, oh! {x2} 
Get it up (No) 
Get it up 
Get it up {x4} 
Get it up, get it up, I'll   (work) U all night {x2} 
Get it up, get it up, I'll work U all night {x2} 
Get it up, get it up, all night {x4} 
Do U like that? 
Do U want it harder? 
Yeah, don't stop 
U know I love U, don't stop 
Yeah",prince,get it up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,"Let me see that bod
Let me see that
Let me see that
Let me see that body get loose
Let me see that
Let me see that
Let me see that
Let me see that
Let me see that
Let me see that
Let me see that
Let me see that body get loose
Take that you sorry   ers
Let me see that body get loose
  er",prince,get loose,1998,Crystal Ball,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"Prince
Graffiti Bridge
Get Off
Get Off		[Controversy Music, ASCAP - 1991]
-------		[US flipside to NPG]
New power
Let down your funky...
Get off
Get off baby
What can a brother do when the clock keeps ticking you off
Turn the other cheek or kick a nut 'til it coughs
get off
get off
On the positive tip, I'm equipped with a whip
I don't have to spank you 'cause this is my ship
get off
get off
(get off baby)
I will still be hip, when the words from your lip
take a dip in the ratings
And I'll be stripping your Mercedes
of your Lubricated Lady
and taking her for a walk, taking her for a walk
On the positive tip, I'm equipped with a whip
I don't have to spank you 'cause this is my ship
get off
get off
get off
get off
uh, is this a dream?
Nooo
Everybody get off
Is this a dream?
Is this a dream?
get-o-get-o-get-o-get off
On the positive tip, I'm equipped with a whip
I don't have to spank you 'cause this is my ship
get off
get off				(I got the best of you)
get off				(hey, hey sugar)
get off
Once I give her back to ya,
she won't ever wanna do ya
cause I wrote the book
I taught her how to look
She showed me the money you gave her, I took
I even ate her cooking, that's more than you did
get off
get off
What can a brother do when the clock keeps ticking you off
Turn the other cheek or kick a nut 'til it coughs
get off (uh, help me)
get off
get, get, get off
New, new, new Power
{repeated over and over}",prince,get off,NA,Other Songs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
514,"Prince
Miscellaneous
Get Off / The Lubricated Lady
New Power 
Lay down your funky… 
Get off! 
Get off, baby 
What can a brother do when the clock keeps ticking U off? 
Turn the other cheek or kick a nut till he coughs, ""Get off"" 
""Get off"" 
CHORUS: 
On the positive tip 
I'm equipped with a whip 
But I don't have 2 spank U cuz this is my ship 
Get off {x2} 
(Get off, baby) 
I will still be hip 
When the words from your lip take a dip in the ratings 
Then I'll be stripping your Mercedes off your Lubricated Lady 
And taking her 4 a walk, taking her 4 a walk 
On the positive tip 
I'm equipped with a whip 
I don't have 2 spank U cuz this is my ship 
Get off {x4} 
Ooh, is this a dream? 
No - everybody get off 
Is this a dream? {x2} 
Get-a-get-a-get-a-get off 
CHORUS 
(I got the bed 4 U) 
Get off (Hey, hey sugar) 
Get off 
(Get off) {repeat in BG} 
Once I give her back 2 ya 
She won't ever wanna do ya 
Cuz I wrote the book 
I taught her how 2 look 
She showed me the money U gave her - I took 
I even ate her cooking 
That's more than U did 
Get off {x2} 
What can a brother do when the clock keeps ticking U off? 
Turn the other cheek or kick a nut till he cough, ""Get off"" (Ooh, help me) 
""Get off"" (Get off) 
Get off {sampled} 
New Power {sampled} 
Everybody get off {x2} 
Is this a dream? {x2} 
Get-a-get-a-get-a-get off 
CHORUS 
(I got the bed 4 U) 
Get off (Hey, hey sugar) 
Get off 
What can a brother do when the clock keeps ticking U off? 
Turn the other cheek or kick a nut till he cough, ""Get off"" (Ooh, help me) 
""Get off"" (Oh) 
Get off {repeat and sampled} 
Everything alright back there",prince,get off  the lubricated lady,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
822,"Look outside your window, tell me now what you see
Comin' up the mountain for a new philosophy
Every single color, every race and ever creed
Lookin' for the truth y'all that's gonna set somebody free
Get on the boat, get on the boat, people
Get on the boat now, we got room for a hundred more
Get on the boat, get on the boat, people
Get on the boat now, we got room for a hundred more
All across the nation, people doin' what they can
To avoid the tribulation that will be great throughout the land
Everything in darkness must come out into the light
When we love each other, that's the only way that's gonna be right
Get on the boat, get on the boat, people
Get on the boat now, we got room for a hundred more
Get on the boat, get on the boat, people
Get on the boat now, we got room for a hundred more
Good God, say it again, bridge, we were meant to live together
Underneath the sun, I can't think of nothing better
Don't you wanna come? Get on the boat
Never mind what time it is, the party's just begun
No te alejes de este momento de inspiracion
You can let your hair down, let the music move your feet
Panamama bring the drama, dancin' to the beat, maceo
What's the harm in listenin' to the hopeful words we say?
If it moves your heart, you know you better get in without delay
Get on the boat, get on the boat, people
Get on the boat now, we got room for a hundred more
Dance to the beat, Ray, Ray, Ray, lead line, horns, hit me now
Get on the boat, get on the boat, people
Get on the boat now, we got room for a hundred more
Get on the boat, get on the boat, people
Get on the boat now, we got room for a hundred more
We were meant to live together underneath the sun
I can't think of nothing better, don't you wanna come?
Get on the boat, ooh yeah
Get on the boat, get on the boat, people
Get on the boat now, we got room for a hundred more
Get on the boat, get on the boat, people
Get on the boat now, we got room for a hundred more
Get on the boat, get on the boat, people
Get on the boat now, we got room for a hundred more
Get on the boat, get on the boat, people
Get on the boat now, we got room for a hundred more
Good Lord, lead line, lead line
Can't stand it, keep it going, keep it going",prince,get on the boat,2006,3121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
515,"Prince
Miscellaneous
Get On Up
(Who got some money?) 
Nah, nah nah 
Nah, nah nah 
(Get on up) {repeat in BG of song} 
Hey U, get on up 
Get on up now, get on up 
Get on up, get on up 
Get on up now, get on up 
CHORUS: 
How can U sit yourself down 4 a rest? 
When U know that I'm tryin' my best 
2 dance with U, girl 
2 dance with U, girl 
Get on up on the floor 
Get on up now, let's dance some more 
Get on up, do the do 
Get on up now, just me and U 
CHORUS 
Nah, nah nah 
Nah, nah nah 
Hey U over there 
Get on up now, don't go nowhere 
Get on up on the floor 
Get on up now, let's dance some more 
We're gonna dance, dance, dance 
We're gonna dance, dance, dance 2night 
Get on up 
Nah, nah nah 
Nah, nah nah 
Get on up, get on up 
Get on up now, get on up 
Get on up, rock it 2 me 
Get on up now, sock it 2 me 
CHORUS 
We're gonna dance, dance, dance 
We're gonna dance, dance, dance 2night 
Get on up, get on up {x3} 
Get on up now, get on up 
Get on up",prince,get on up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,The hell that got to do with  ?,prince,get some solo,NA,Other Songs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
423,"Get wild, ah
Get wild, ooh, ooh, baby
Get wild, get wild
Get wild, get wild
When you're sick of that nine to five
And you're ready to come alive
When you look both high and low
And you can't find a trumpet that blows
Come on baby
(Aw shucks)
Where the good times never die
Come on baby
(Aw shucks)
Where the damsels good and fly
Come on baby, you can shake
Your funky monkey 'til it cry
Polyvinyl acetate will keep your monkey high
If you wanna get real freaky, now's the time to try
(Come on y'all)
Get wild, everybody up in the place
Get wild, it don't matter what sex or race
Get wild, all you nasty girls and boys
If you wanna get wild, say yeah
(Yeah)
Make some noise
When you want to get in the groove
But the music don't make you move
Hip the DJ to a new CD, anything by the N.P.G.
Come on baby
(Aw shucks)
Where the good times never die
Come on baby
(Aw shucks)
Where the damsels good and fly
Come on baby, you can shake
Your funky monkey 'til it cry
Polyvinyl acetate will keep your monkey high
If you wanna get real freaky, now's the time to try
(Come on y'all)
Get wild, everybody up in the place
Get wild, it don't matter what sex or race
Get wild, all you nasty girls and boys
If you wanna get wild, say yeah
(Yeah)
Make some noise
Get wild, like you know you need to
Pick a funky outfit, short and see through
Versace got it going on in the gold mesh
Why don't you try it on tonight, when you get dressed?
Get wild's the only aroma that my nose will see
(Get wild)
Why don't you spray a little
Where you think I'm gonna be?
And you know, you know what shoes to wear
The ones so high you're scared
Ououo, peligro que aqui yo vengo
(Oh oh, danger for here I come)
(Get wild)
When you can't find the G to your GO
Even charged, your battery's low
When the smoke's too thick to blow
There's a brand new high we know
Come on baby
(Aw shucks)
Where the good times never die
Come on baby
(Aw shucks)
Where the damsels good and fly
Come on baby, you can shake
Your funky monkey, 'til it cry
Polyvinyl acetate will keep your monkey high
If you wanna get real freaky, now's the time to try
(Come on y'all)
Get wild, everybody up in the place, yes
Get wild, it don't matter what sex or race
Get wild, all you nasty girls and boys
(Get wild)
If you wanna get wild, say yeah
(Yeah)
Make some noise
Get wild
(Shake it)
Shake your money maker
Get wild
(Shake it)
Shake your money maker
Get wild
(Shake it, shake it)
Shake your money maker
Get wild
(Get, get)",prince,get wild,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
398,"Get your groove on
I got some money 'cuz I just got paid
It's time to get my groove on
Been workin' hard, now it's time to play
I gots to get my groove on, can't wait to see your face again
You keep me happy, yeah, you're my best friend
In the park around a half past nine
Meet me, we'll have a real good time
Come on, everybody get your groove on
Come on, we gonna party all night long
Get your groove on
I got some honey and some peppermint tea
That's all I need to get my drink on
Don't want this night to end if you're with me
We gonna party all night long
Bring the player, I'll bring the CDs
But don't you put nothing slow on
That new D'Angelo, some N.P.G.
And we'll make a bet to see who keep their clothes on
Come on, everybody get your groove on
Come on, we gonna party all night long
Get your groove on
I'm usually workin' both night and day, no time for fun
But tonight I'm gonna get my groove on
I'm sayin' 'til I see the sun
Till I see the sun, ooh, I wanna play
Come on, speak
Hey girl, let's hang tonight
Alrighty
Around a half past nine?
I got some money 'cuz I just got paid
It's time to get my groove on
Been workin' hard, now it's time to play
I gots to get my groove on
Come on, everybody get your groove on
(Hey, baby)
Come on
Get your groove on, get your groove on
Hey, nice joint, huh? It's alright
You see anything you like in here, you know what I'm sayin'?
I think I see little somethin', somethin' over there
But there's to much smoke in here, ehh wait, wait, wait
What's your name, lil'? Come here eew
Get it on, get on, gvet your groove on
Baby, get your groove on
Oh yeah, get it on
(Get your groove on)
Getcha, getcha, get your groove on
Getcha, getcha
Getcha, getcha, get your groove on
Getcha, get your groove on
Oh baby,
Get your groove on
Oh baby, oh yeah
Get your groove on
Getcha, getcha, get your groove on
Getcha, getcha
Getcha, getcha, get your groove on
Getcha, get your groove on
Oh baby,
Get your groove on
Oh baby, oh yeah
Get your groove on
Girl, you believe that brother that came over here?
I'm tellin' you, with a tooth missin' and everything
Hey Rhonda, girl, how you doin'?
Hey, how you doin' Montalbo?
Is Juice in there? Don't you mean
You know, Big Julius
The sleazy one?
Yo, I know Big Juice is in there, girl
Gettin' that groove on
(Get your groove on)
(Getcha, getcha, get your groove on)
Oh, get it on
Girl, I think we better leave
'Cuz if we don't, I think I might have to have another one
Then I might change my name to?
What's my name? Margarita
Y'all help me find Juice
I'm tryin', I can't find him
Are you still lookin' for him?
Yeah, he's just you know
He's up in here somewhere, I can't find him though
(No no, definitely not seen him)
Girl, let's go, I smell like an ashtray
(It's time to go)
We ain't goin' nowhere
Sir, I'm sorry this club has a very strict dress code
We do not accept bluejeans
What you mean?
It don't take Stevie Wonder to see I got on the right clothes in here
I need to get up in this club hell, I could buy every one of ya",prince,get yo groove on,1996,Emancipation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,"Prince
Miscellaneous
Get Your Groove On
Get your groove on
I got some money cuz I just got paid
It's time 2 get my groove on
Been workin' hard, now it's time 2 play
I gots 2 get my groove on
Can't wait 2 see your face again
U keep me happy, yeah, U're my best friend
In The Park around a half past 9
Meet me, we'll have a real good time
CHORUS:
Come on, everybody get your groove on
Come on, we gonna party all night long
Get your groove on
I got some honey and some peppermint tea
That's all I need 2 get my drink on
Don't want this night 2 end if U're with me
We gonna party all night long
Bring the player, I'll bring the CDs
But don't U put nothing slow on
That new D'Angelo, some N.P.G.
And we'll make a bet 2 see who keep their clothes on
CHORUS
I'm usually workin' both night and day
No time 4 fun
But 2night I'm gonna get my groove on
I'm sayin' 'til I see the sun
Till I see the sun, ooh, I wanna play
Come on!
Speak 
Hey girl, let's hang 2night 
Alrighty 
Around a half past 9? 
I got some money cuz I just got paid
It's time 2 get my groove on
Been workin' hard, now it's time 2 play
I gots 2 get my groove on
Come on, everybody get your groove on (Hey baby)
Come on!
Get your groove on
Get your groove on
{Repeat CHORUS in BG}
Hey, nice joint, huh? 
It's alright 
U see anything U like in here, U know what I'm sayin'? 
I think I see little somethin', somethin' over there 
But there's 2 much smoke in here, ehh 
Wait, wait, wait 
What's your name, lil'? Come here 
Eeewww! 
Get it on, get on
Get your groove on
Baby, get your groove on
Oh yeah
Get it on
(Get your groove on) {repeat in BG}
Getcha, getcha, get your groove on
Getcha, getcha
Getcha, getcha, get your groove on
Getcha, get your groove on
Oh baby
Get your groove on
Oh baby, oh yeah
Get your groove on {x2}
Girl, U believe that brother that came over here? 
I'm tellin' U, with a tooth missin' and everything 
Hey Rhonda, girl, how U doin'? 
Hey, how U doin' Montalbo? 
Is Juice in there? 
Don't U mean... 
U know, Big Julius 
The sleazy one? 
Yo, I know Big Juice is in there, girl
Gettin' that groove on (Get your groove on)
(Getcha, getcha, get your groove on) 
Oh, get it on
Girl, I think we better leave
Cuz if we don't, I think I might have 2 have another one
Then I might change my name 
2... ? 
What's my name? Margarita
Y'all help me find Juice, I'm tryin', I can't find him 
Are U still lookin' 4 him? 
Yeah, he's just... U know
He's up in here somewhere, I can't find him though 
(No no, definitely not seen him)
Girl, let's go, I smell like an ashtray
(It's time 2 go) 
We ain't goin' nowhere
Sir, I'm sorry
This club has a very strict dress code
We do not accept bluejeans
What U mean?
It don't take Stevie Wonder 2 see I got on the right clothes in here
I need 2 get up in this club
Hell, I could buy every one of ya
  yourself!",prince,get your groove on,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
